id;Compartiment;Parcelle;Ilot;id-?lot;Surface;Date d'obs;Etendue [h;Etendue [m;Habitat Ni;Recouvreme;Stade de d;Structure;Associatio;Essence 1;Annee_1;Essence 2;Annee_2;Essence 3;Annee_3;Autres  +;Petit Bois;Bois moyen;Gros bois_;Surface te;Petits boi;Bois moy_2;Gros boi_1;Surface _1;Petits b_1;Bois moy_3;Gros boi_2;Surface _2;Surface _3;Qualit€?ô÷;Remarque;Provenance;WKT
43;2;C;6;C6;348.3;juil-18;0.03;348.3;G3;0%;FJ;FR;1;TH 100%;1988;;;;;;88;8;4;15;;;;0;;;;0;15;S;Peuplement in vitro de 1988;;MULTIPOLYGON (((166476.388399869 152207.51273057,166506.118028244 152195.435069043,166502.556666512 152184.596142031,166471.123778178 152199.460956219,166476.388399869 152207.51273057)))
143;2;D;1;D1;;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166590.661658935 152111.355963796,166637.423886899 152177.628260381,166682.637696719 152195.589910858,166704.625234371 152202.402950693,166718.251314043 152212.622510447,166750.14872782 152221.913019314,166778.020254422 152235.848782615,166771.084559101 152265.325485481,166770.531948271 152271.384396562,166821.515089879 152264.033336661,166875.106072083 152249.474862287,166882.073953733 152224.080804714,166882.824430737 152207.058553422,166878.055375453 152200.469363095,166867.267045409 152189.681033051,166853.363933267 152183.915546782,166834.844614967 152175.161542423,166808.012011784 152167.681616194,166789.899800102 152162.632608977,166771.715662283 152153.509295843,166755.515532629 152140.011791483,166743.935536559 152124.986213762,166735.144299196 152113.579178776,166731.926788317 152097.1207049,166729.317251596 152083.772189984,166721.178131491 152070.680860525,166712.289150031 152060.65146492,166702.853394668 152054.46510876,166673.983732565 152041.904931086,166649.59761647 152020.533882518,166639.037069077 152004.974259433,166624.250731191 152018.354642486,166620.76727351 152033.159337634,166621.20270572 152043.609710679,166617.283815828 152064.075024558,166590.661658935 152111.355963796),(166682.318723781 152146.281837325,166673.035742114 152135.995290074,166723.715804184 152117.931109535,166729.235414905 152125.206960028,166682.318723781 152146.281837325)))
41;2;D;2;D2;13535.88;juil-18;1.35;13535.88;G3;0%;FA;FR;1;PS 40%;1938;TY 60 %;1980;;;;0;89;11;10;100;0;0;9.5;;;;0;19.5;B;;Provenance de l'arboretum de  Spa (PS);MULTIPOLYGON (((166620.429997763 152290.54665357,166678.650519997 152278.778675672,166719.838442641 152275.372155754,166720.419099446 152271.462399939,166718.251314043 152212.622510447,166704.625234371 152202.402950693,166682.637696719 152195.589910858,166637.423886899 152177.628260381,166590.661658935 152111.355963796,166571.461273943 152141.395275799,166572.700008458 152162.763446194,166593.672812555 152214.456977419,166620.081603681 152277.036705259,166619.152552794 152282.301326951,166620.429997763 152290.54665357)))
47;2;D;3;D3;2824.8;juil-18;0.28;2824.8;G3;0%;FJ;FR;1;DO 100%;1979;;;;;;23;71;6;29.5;;;;0;;;;0;29.5;S;Peuplement cr€Œôùô®€Œôùô® pour l'€Œôùô®m€Œôùô®ritat du professeur Antoine. Bouture de douglas.;"Afocelle - France: Bouture; Verger €Œôùô® graine";MULTIPOLYGON (((166718.251314043 152212.622510447,166720.419099446 152271.462399939,166719.838442641 152275.372155754,166755.761743594 152273.51405398,166770.531948271 152271.384396562,166771.084559101 152265.325485481,166778.020254422 152235.848782615,166750.14872782 152221.913019314,166718.251314043 152212.622510447)))
52;2;D;4;D4;573.35;juil-18;0.06;573.35;G1;50%;FJ;FR;1;TU 100%;1977;;;;;;70;30;0;13;;;;0;;;;0;13;M;Plantation de fin d'ann€Œôùô®e avec Princesse Anne de Ligne. Pr€Œôùô®sence de CY en bordure des TU €Œôùô® d€Œôùô®gager;Provenance de graine de Groenendael avec €Œôùô®ducation en pot.;MULTIPOLYGON (((166729.235414905 152125.206960028,166723.715804184 152117.931109535,166673.035742114 152135.995290074,166682.318723781 152146.281837325,166729.235414905 152125.206960028)))
50;2;E;1;E1;5705.59;juil-18;0.57;5705.59;G3;20%;FJ;FR;1;MJ 95%;1956;BV 5%;;;;Foug€Œôùô®re;38;47;15;32.5;;;;0;;;;0;32.5;M;Peu productif;;MULTIPOLYGON (((166325.262788964 152111.394674249,166340.669549502 152108.994626125,166363.586138041 152103.071926722,166397.883599942 152105.355843485,166409.806419655 152125.020753921,166411.395442177 152136.861302707,166436.354275712 152128.742591229,166428.774541925 152112.47856695,166416.193644501 152094.671758288,166407.057977448 152067.884124388,166399.161044911 152060.916242738,166374.696038228 152051.316050242,166352.86334239 152055.651621046,166315.701306922 152044.193326777,166311.868972014 152064.942129913,166325.262788964 152111.394674249)))
48;2;E;2;E2;3334.39;juil-18;0.33;3334.39;G1;50%;P;FR;1;CT 90%;1960;EP 10%;1960;;;;32;60;8;23;;;;0;;;;0;23;M;"CT = B, G€Œôùô®livure au pied
EP = M €Œôùô®coulement de r€Œôùô®sine
Epic€Œôùô®a circonf€Œôùô®rence : 156, 152, 135, 134, 102, 108, 121, 100, 94, 153.";;MULTIPOLYGON (((166336.411399605 152149.640602419,166338.858952005 152160.456268973,166411.395442177 152136.861302707,166409.806419655 152125.020753921,166397.883599942 152105.355843485,166363.586138041 152103.071926722,166340.669549502 152108.994626125,166325.262788964 152111.394674249,166336.411399605 152149.640602419)))
49;2;E;3;E3;1076.55;juil-18;0.11;1076.55;G3;50%;P;FR;1;CT 90%;1960;EP 10%;1960;;;;32;60;8;23;;;;0;;;;0;23;M;"CT = B, G€Œôùô®livure au pied
EP = M €Œôùô®coulement de r€Œôùô®sine
Epic€Œôùô®a circonf€Œôùô®rence : 156, 152, 135, 134, 102, 108, 121, 100, 94, 153.";;MULTIPOLYGON (((166338.858952005 152160.456268974,166336.411399605 152149.640602419,166325.262788964 152111.394674249,166311.868972014 152064.942129913,166305.790088115 152068.673695278,166315.155274003 152121.895547025,166320.221287368 152140.35031,166327.739400662 152163.308434006,166338.858952005 152160.456268974)))
144;2;F;1;F1;;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166571.461273943 152146.620462322,166571.461273943 152141.395275799,166590.661658935 152111.355963796,166605.71746646 152084.616853816,166617.283815828 152064.075024558,166621.20270572 152043.609710679,166620.76727351 152033.159337634,166624.250731191 152018.354642486,166639.037069077 152004.974259433,166629.756976238 152005.908101047,166597.391986104 151992.861748435,166552.921486095 151981.571635598,166451.310470559 151952.970016412,166448.444976324 151974.375989256,166443.002073697 151984.009926909,166434.402287545 151991.521132533,166424.822778921 152004.692956893,166423.189908133 152028.151867218,166431.463120126 152078.281000415,166434.38414931 152104.877675583,166443.019988855 152096.684701876,166452.310497722 152074.697164224,166448.516873268 152021.470290506,166453.162127701 152004.437690916,166569.29348854 152003.198956401,166600.261851431 152015.276617928,166597.7843824 152035.406053807,166582.067938233 152076.090740554,166567.009571777 152080.929547256,166553.932090804 152108.760342001,166571.461273943 152146.620462322)))
51;2;F;2;F2;11339.62;juil-18;1.13;11339.62;G3;20%;FJ;FR;1;PS 90%;1960;BV 10%;1960;;;;35;65;0;14;88;12;0;9.5;;;;0;23.5;M;;;MULTIPOLYGON (((166540.647752867 152098.813776825,166546.531741816 152119.87226359,166550.093103548 152116.930269116,166567.009571777 152080.929547256,166582.067938233 152076.090740554,166597.7843824 152035.406053807,166548.854369033 152023.947759537,166448.516873268 152021.470290506,166452.310497722 152074.697164224,166443.019988855 152096.684701876,166430.942327328 152108.142996146,166428.774541925 152112.47856695,166436.354275712 152128.742591231,166511.654602252 152100.66278041,166529.344300412 152094.013680577,166540.647752867 152098.813776825)))
53;2;F;3;F3;3003.76;juil-18;0.3;3003.76;G3;0%;FJ;FR;3;PST 70%;1981;TY 25%;1981;DO 5%;1981;;0;84;16;22;;;;0;;;;0;22;S;"Un douglas €Œôùô® 180 cm de circonf€Œôùô®rence. Peuplement €Œôùô® €Œôùô®claircir avec quelques trou€Œôùô®es de r€Œôùô®g€Œôùô®n€Œôùô®rations
Qualit€Œôùô® par essence : PW = S DO = S TY = S";;MULTIPOLYGON (((166597.7843824 152035.406053807,166600.261851431 152015.276617928,166569.29348854 152003.198956401,166453.162127701 152004.437690916,166448.516873268 152021.470290506,166548.854369033 152023.947759537,166597.7843824 152035.406053807)))
145;2;G;1;G1;;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166434.38414931 152104.877675583,166431.463120126 152078.281000415,166423.189908133 152028.151867218,166424.822778921 152004.692956893,166434.402287545 151991.521132533,166443.002073697 151984.009926909,166448.444976324 151974.375989256,166451.310470559 151952.970016412,166425.970439524 151959.99497551,166412.892725487 151969.65429427,166394.075870758 151977.557373256,166377.767929993 151977.808264651,166365.223360174 151974.4212308,166361.083652134 151984.080549563,166351.298887675 151989.976497375,166312.159829838 152024.975847171,166306.389327722 152040.405668052,166303.75496806 152059.222522779,166305.205513297 152065.818150701,166305.790088115 152068.673695278,166311.868972014 152064.942129913,166315.701306922 152044.193326777,166352.86334239 152055.651621046,166374.696038228 152051.316050242,166399.161044911 152060.916242738,166407.057977448 152067.884124388,166416.193644501 152094.671758288,166428.774541925 152112.47856695,166430.942327328 152108.142996146,166434.38414931 152104.877675583)))
65;3;A;1;A1;31341.39;juil-18;3.13;31341.39;G3;70%;FA;FR;1;PS 100%;1914;;;;;CP HE BV CT SO;10;25;65;32;;;;0;;;;0;32;S;Gagnage €Œôùô® chevreuil. Sous €Œôùô®tage comporte gaulis de 8m de haut. Peut devenir un tr€Œôùô®s beau peuplement m€Œôùô®lang€Œôùô® de r€Œôùô®sineux feuillus. N€Œôùô®cessaire de cr€Œôùô®er un r€Œôùô®seau de d€Œôùô®bardage.;;MULTIPOLYGON (((165899.536697014 152371.967262335,166084.289807773 152349.323361329,166066.920619091 152290.702349529,166052.808153287 152240.76593207,166033.26781602 152232.805053923,165966.685926073 152228.100898654,165964.514777488 152211.817284266,165947.869305001 152209.646135679,165918.920657198 152210.369851875,165872.612001113 152221.29383524,165873.425454918 152234.059240495,165859.034595886 152234.410235649,165873.425454918 152266.392752924,165825.322120215 152288.345069136,165867.809769106 152381.331737264,165899.536697014 152371.967262335)))
152;3;B;1;B1;12578.45;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166117.23797701 152201.84569071,166139.846004603 152208.427605866,166149.425513227 152216.047669546,166159.440454062 152225.409462064,166163.577060059 152236.512983425,166165.318788899 152247.834220891,166165.75422111 152266.557805928,166162.488479533 152275.484166237,166154.868415855 152285.934539283,166137.451127447 152299.650653903,166108.712601574 152326.320876778,166096.302783583 152338.730694769,166084.289807773 152349.323361328,166101.854114536 152346.886085759,166242.602725446 152333.220675988,166238.984144471 152329.783024062,166215.64429718 152292.692569064,166200.808115181 152273.875947993,166214.558722887 152259.582553139,166243.688299739 152255.602114067,166254.905900763 152262.115559823,166272.456018493 152264.648566507,166281.864329029 152265.734140798,166282.407116176 152277.13267087,166308.822757296 152274.780593239,166308.27997015 152284.369832822,166337.047688904 152273.514089894,166349.435169385 152276.168215421,166326.282410502 152155.729279147,166218.652242615 152167.35397053,166213.314835677 152167.082576956,166174.754332158 152162.152260378,166133.555515595 152151.954505514,166132.560405827 152154.1256541,166124.056740535 152167.96672633,166119.804907889 152188.592637891,166117.23797701 152201.84569071)))
63;3;B;2;B2;7729.87;juil-18;0.77;7729.87;G3;0%;FJ;FR;4;PS 55%;1961;TY 25%;1985;MH 20%;1976-1985;;32;37;32;22;;;;0;;;;0;22;B;L'ensemble doit €Œôùô®tre €Œôùô®clairci pour harmoniser le tout. Pour les m€Œôùô®l€Œôùô®zes, attention au facteur de stabilit€Œôùô®. C€Œôùô®mes tr€Œôùô®s haute et peu d€Œôùô®velopp€Œôùô®e;;MULTIPOLYGON (((166238.984144471 152329.783024062,166242.602725446 152333.220675988,166311.489883538 152323.74089275,166343.9796572 152320.339311427,166355.528204133 152319.084034585,166349.435169385 152276.168215421,166337.047688904 152273.514089894,166308.27997015 152284.369832822,166308.822757296 152274.780593239,166282.407116176 152277.13267087,166281.864329029 152265.734140798,166272.456018493 152264.648566507,166254.905900763 152262.115559823,166243.688299739 152255.602114067,166214.558722887 152259.582553139,166200.808115181 152273.875947993,166215.64429718 152292.692569064,166238.984144471 152329.783024062)))
64;3;B;3;B3;1981.34;juil-18;0.2;1981.34;G1;60%;P;FR;4;MR 80%;1985;CR 15%;1985;CS 4 %;1985;CT 1%;73;27;0;14;;;;0;;;;0;14;M;Chaque type d'essence comporte des beaux arbres €Œôùô® favoriser. Les merisiers sont tr€Œôùô®s h€Œôùô®t€Œôùô®rog€Œôùô®nes. Il faut travailler par essence objectif.;;MULTIPOLYGON (((166117.23797701 152201.84569071,166119.804907889 152188.592637891,166124.056740535 152167.96672633,166132.560405827 152154.1256541,166133.555515595 152151.954505514,166125.413708401 152148.697782637,166110.396597353 152143.450840223,166102.435719208 152134.132994212,166096.645989647 152143.043749863,166087.147214587 152168.780907052,166087.791774323 152194.427599713,166103.894459663 152202.20754881,166117.23797701 152201.84569071)))
151;3;C;1;C1;12578.45;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166084.289807773 152349.323361328,166096.302783583 152338.730694769,166108.712601574 152326.320876778,166137.451127447 152299.650653903,166154.868415855 152285.934539283,166162.488479533 152275.484166237,166165.75422111 152266.557805928,166165.318788899 152247.834220891,166163.577060059 152236.512983425,166159.440454062 152225.409462064,166149.425513227 152216.047669546,166139.846004603 152208.427605866,166117.23797701 152201.84569071,166103.894459663 152202.20754881,166087.791774323 152194.427599713,166045.147601304 152191.090377065,166016.199902736 152173.413822625,165980.297287101 152142.140310139,165971.347346513 152118.993912069,165961.314174239 152074.579826631,165955.218123297 152036.700262913,165952.605530035 152006.655440413,165957.051454226 151970.593629993,165955.06123469 151943.27334363,165948.16058132 151914.558489381,165941.629098167 151867.531810679,165915.067733345 151812.667352195,165901.569334829 151780.00993643,165889.377232943 151758.238325921,165879.222177405 151732.368435413,165845.876810196 151740.206437075,165749.888969355 151730.025096543,165751.955018552 151736.217478423,165749.888969355 151730.025096544,165647.167346217 151718.448504671,165644.724804059 151756.353140388,165673.087912359 151790.400556348,165687.346052499 151804.250396572,165728.433169167 151843.943253339,165757.960435672 151860.503301403,165782.708883822 151874.312729937,165782.187848275 151826.905106599,165782.191302891 151826.915469407,165800.465136817 151838.042605904,165820.186403132 151869.569492654,165827.762807049 151932.66849841,165837.713904731 151968.130591967,165843.479429287 151993.625020865,165843.384899604 151993.641587845,165829.373186779 151996.082158213,165877.684293481 152066.792656267,165894.727482884 152115.202937191,165868.736134878 152169.0335294,165872.421950547 152218.239608239,165872.612001113 152221.293835239,165918.920657198 152210.369851875,165947.869305001 152209.646135679,165964.514777488 152211.817284266,165966.685926073 152228.100898654,166033.26781602 152232.805053923,166052.808153287 152240.76593207,166071.624774359 152250.897958799,166074.881497237 152266.819715091,166090.079537334 152270.800154164,166103.83014504 152272.60944465,166107.086867918 152298.663227675,166084.289807773 152349.323361328),(165904.446333297 152069.742748719,165904.084475199 152058.751309005,165926.293515936 152049.976250142,165930.500116319 152053.05204397,165932.806961691 152069.199961573,165904.446333297 152069.742748719)))
66;3;C;2;C2;2454.1;juil-18;0.25;2454.1;G3;0%;FJ;FR;2;DO 60%;1987;TY 30%;1987;TH 10%;1987;"Foug€Œôùô®re aigle, myrtille,
 BV, Prunus serotina, lonicera periclimenum";45;55;0;17;;;;0;;;;0;17;B;;"Tsuga provient de l'arboretum de Spa.
Thuya : in-vitro
Douglas : Groenendaal";MULTIPOLYGON (((166052.808153287 152240.76593207,166084.289807773 152349.323361329,166107.086867918 152298.663227674,166105.23411749 152283.841224249,166103.83014504 152272.60944465,166090.079537334 152270.800154164,166074.881497237 152266.819715091,166071.624774359 152250.897958799,166052.808153287 152240.76593207)))
